Column,Row,Product/ internal Standard,Product
1,A,0.9332,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2F)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,B,0.4488,CCOC(=O)C1=C(COCCOC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,C,1.21025,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(F)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,D,0.85815,CC#CC(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1
1,E,0,CCOC(=O)C1=C(COCCOC(=O)C(Cc2cnc[nH]2)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,F,1.05665,CCOC(=O)C1=C(COCCOC(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,G,0.1136,CCOC(=O)C1=C(COCCOC(=O)[C@@]2(C)CC[C@]3(C)CC[C@]4(C)C(=CC(=O)[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]3C2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
1,H,0.46715,CCOC(=O)C1=C(COCCOC(=O)C(C#N)=Cc2ccc(O)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,A,0.7155,CCOC(=O)C1=C(COCCOC(=O)c2cccc(F)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,B,0.10205,CCOC(=O)C1=C(COCCOC(=O)c2cc(Cl)c(N)cc2OCC)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,C,0.28035,CCOC(=O)C1=C(COCCOC(=O)Cc2ccco2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,D,0.85015,CCOC(=O)C1=C(COCCOC(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,E,0.5981,CCOC(=O)C1=C(COCCOC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,F,0,CCOC(=O)C1=C(COCCOB(O)O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
2,G,0.52775,CCOC(=O)C1=C(COCCOC(=O)c2cn3c4c(c(N5CCN(C)CC5)c(F)cc4c2=O)OC[C@@H]3C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
